\e[2;2m Comprobando puertos en mar abr  2 13:43:35 CEST 2019
El puerto 1 no está a la escucha en el sistema
El puerto 7 no está a la escucha en el sistema
El puerto 9 no está a la escucha en el sistema
El puerto 11 no está a la escucha en el sistema
El puerto 13 no está a la escucha en el sistema
El puerto 15 no está a la escucha en el sistema
El puerto 17 no está a la escucha en el sistema
El puerto 18 no está a la escucha en el sistema
El puerto 19 no está a la escucha en el sistema
El puerto 20 no está a la escucha en el sistema
El puerto 21 no está a la escucha en el sistema
El puerto 22 no está a la escucha en el sistema
El puerto 23 no está a la escucha en el sistema
El puerto 25 no está a la escucha en el sistema
El puerto 37 no está a la escucha en el sistema
El puerto 42 no está a la escucha en el sistema
El puerto 43 no está a la escucha en el sistema
El puerto 49 no está a la escucha en el sistema
El puerto 50 no está a la escucha en el sistema
El puerto 53 no está a la escucha en el sistema
El puerto 65 no está a la escucha en el sistema
El puerto 67 no está a la escucha en el sistema
El puerto 68 no está a la escucha en el sistema
El puerto 70 no está a la escucha en el sistema
El puerto 79 no está a la escucha en el sistema
El puerto 80 no está a la escucha en el sistema
El puerto 87 no está a la escucha en el sistema
El puerto 88 no está a la escucha en el sistema
El puerto 95 no está a la escucha en el sistema
\e[2;2m Comprobando puertos en mar abr  2 17:12:47 CEST 2019
El puerto 1 no está a la escucha en el sistema
El puerto 7 no está a la escucha en el sistema
El puerto 9 no está a la escucha en el sistema
El puerto 11 no está a la escucha en el sistema
El puerto 13 no está a la escucha en el sistema
El puerto 15 no está a la escucha en el sistema
El puerto 17 no está a la escucha en el sistema
El puerto 18 no está a la escucha en el sistema
El puerto 19 no está a la escucha en el sistema
El puerto 20 no está a la escucha en el sistema
El puerto 21 no está a la escucha en el sistema
El puerto 22 no está a la escucha en el sistema
El puerto 23 no está a la escucha en el sistema
El puerto 25 no está a la escucha en el sistema
El puerto 37 no está a la escucha en el sistema
El puerto 42 no está a la escucha en el sistema
El puerto 43 no está a la escucha en el sistema
El puerto 49 no está a la escucha en el sistema
El puerto 50 no está a la escucha en el sistema
El puerto 53 no está a la escucha en el sistema
El puerto 65 no está a la escucha en el sistema
El puerto 67 no está a la escucha en el sistema
El puerto 68 no está a la escucha en el sistema
El puerto 70 no está a la escucha en el sistema
